Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock,Source,PaperScene,AlgorithmOrder
1,ERIME,5,20270906,337.028191438955,6.9976913,1,4.44089209850063e-14,9426,NaN,NaN,NaN,NaN,0,0,7.0276316,recent-improved,1,5
1,ERIME,6,20270907,330.400362705964,6.3376575,1,0,9492,NaN,NaN,NaN,NaN,0,0,6.3604985,recent-improved,1,5
1,ERIME,7,20270908,338.402181489793,5.7317576,1,0,9465,NaN,NaN,NaN,NaN,0,0,5.7490046,recent-improved,1,5
1,ERIME,8,20270909,318.361132818697,6.8133819,1,0,9474,NaN,NaN,NaN,NaN,0,0,6.83691,recent-improved,1,5
1,ERIME,9,20270910,318.964835584385,6.0462369,1,4.44089209850063e-14,9438,NaN,NaN,NaN,NaN,0,0,6.0651424,recent-improved,1,5
1,ERIME,10,20270911,317.490400800344,7.4503656,1,0,9510,NaN,NaN,NaN,NaN,0,0,7.4734528,recent-improved,1,5
1,ERIME,11,20270912,345.643792205414,6.151689,1,1.59872115546023e-14,9471,NaN,NaN,NaN,NaN,0,0,6.1743972,recent-improved,1,5
1,ERIME,12,20270913,341.773728226736,6.0012326,1,0,9435,NaN,NaN,NaN,NaN,0,0,6.0270356,recent-improved,1,5
1,ERIME,13,20270914,311.80841846752,6.3428563,1,0,9510,NaN,NaN,NaN,NaN,0,0,6.3613089,recent-improved,1,5
1,ERIME,14,20270915,300.371442797895,6.5534279,1,0,9471,NaN,NaN,NaN,NaN,0,0,6.5747538,recent-improved,1,5
1,ERIME,15,20270916,339.590185133154,6.6487725,1,0,9480,NaN,NaN,NaN,NaN,0,0,6.6723183,recent-improved,1,5
1,ERIME,16,20270917,329.168017045557,6.5710986,1,0,9492,NaN,NaN,NaN,NaN,0,0,6.5912978,recent-improved,1,5
1,ERIME,17,20270918,318.351657601643,6.3139964,1,4.44089209850063e-14,9513,NaN,NaN,NaN,NaN,0,0,6.3383651,recent-improved,1,5
1,ERIME,18,20270919,307.230052955024,7.263477,1,0,9495,NaN,NaN,NaN,NaN,0,0,7.2841826,recent-improved,1,5
1,ERIME,19,20270920,349.852102988485,6.9851394,1,0,9477,NaN,NaN,NaN,NaN,0,0,7.0088453,recent-improved,1,5
1,ERIME,20,20270921,329.613118738675,6.760009,1,0,9528,NaN,NaN,NaN,NaN,0,0,6.7780092,recent-improved,1,5
1,ERIME,21,20270922,312.493055020885,6.6851498,1,0,9564,NaN,NaN,NaN,NaN,0,0,6.7048159,recent-improved,1,5
1,ERIME,22,20270923,317.363741857541,6.7767392,1,0,9468,NaN,NaN,NaN,NaN,0,0,6.7962987,recent-improved,1,5
1,ERIME,23,20270924,318.57088324365,6.3333106,1,6.21724893790088e-15,9501,NaN,NaN,NaN,NaN,0,0,6.3517663,recent-improved,1,5
1,ERIME,24,20270925,316.004830806713,7.0595407,1,0,9453,NaN,NaN,NaN,NaN,0,0,7.0771402,recent-improved,1,5
1,ERIME,25,20270926,325.12468975075,6.7869143,1,0,9459,NaN,NaN,NaN,NaN,0,0,6.8047048,recent-improved,1,5
1,ERIME,26,20270927,312.005486919727,7.0269489,1,4.44089209850063e-14,9492,NaN,NaN,NaN,NaN,0,0,7.051299,recent-improved,1,5
1,ERIME,27,20270928,325.759771149191,6.5680939,1,0,9486,NaN,NaN,NaN,NaN,0,0,6.5974449,recent-improved,1,5
1,ERIME,28,20270929,310.180573980794,6.8089569,1,0,9498,NaN,NaN,NaN,NaN,0,0,6.8349485,recent-improved,1,5
1,ERIME,29,20270930,315.062365558511,6.4706313,1,0,9459,NaN,NaN,NaN,NaN,0,0,6.4937135,recent-improved,1,5
1,ERIME,30,20270931,311.788799143039,7.0192009,1,0,9483,NaN,NaN,NaN,NaN,0,0,7.0414429,recent-improved,1,5
1,MSCSO,1,20271002,305.621159331696,13.4709785,1,0,21486,NaN,NaN,NaN,NaN,0,0,13.4890211,recent-improved,1,6
1,MSCSO,2,20271003,296.744554083507,14.3155534,1,0,21410,NaN,NaN,NaN,NaN,0,0,14.3353277,recent-improved,1,6
1,MSCSO,3,20271004,304.547064617223,13.284936,1,0,21488,NaN,NaN,NaN,NaN,0,0,13.315124,recent-improved,1,6
1,MSCSO,4,20271005,299.370553034263,14.3473378,1,0,21568,NaN,NaN,NaN,NaN,0,0,14.3662862,recent-improved,1,6
1,MSCSO,5,20271006,322.9667341447,13.3706907,1,0,21440,NaN,NaN,NaN,NaN,0,0,13.3942122,recent-improved,1,6
1,MSCSO,6,20271007,311.006268535922,13.7394886,1,0,21400,NaN,NaN,NaN,NaN,0,0,13.7577461,recent-improved,1,6
1,MSCSO,7,20271008,307.981424823645,13.4399114,1,0,21383,NaN,NaN,NaN,NaN,0,0,13.4574203,recent-improved,1,6
1,MSCSO,8,20271009,337.559480377009,13.8989747,1,0,21400,NaN,NaN,NaN,NaN,0,0,13.9221361,recent-improved,1,6
1,MSCSO,9,20271010,311.430367953835,13.7189703,1,0,21426,NaN,NaN,NaN,NaN,0,0,13.7363734,recent-improved,1,6
1,MSCSO,10,20271011,297.830731198576,13.3983584,1,0,21426,NaN,NaN,NaN,NaN,0,0,13.4206916,recent-improved,1,6
1,MSCSO,11,20271012,303.822765639444,14.1198142,1,0,21351,NaN,NaN,NaN,NaN,0,0,14.1466797,recent-improved,1,6
1,MSCSO,12,20271013,303.609880660127,12.9774195,1,0,21464,NaN,NaN,NaN,NaN,0,0,13.0047098,recent-improved,1,6
1,MSCSO,13,20271014,308.939509694879,12.7324945,1,0,21439,NaN,NaN,NaN,NaN,0,0,12.7498827,recent-improved,1,6
1,MSCSO,14,20271015,311.171800435782,12.3118899,1,0,21386,NaN,NaN,NaN,NaN,0,0,12.3300508,recent-improved,1,6
1,MSCSO,15,20271016,343.384527563339,12.1914432,1,0,21481,NaN,NaN,NaN,NaN,0,0,12.2151403,recent-improved,1,6
1,MSCSO,16,20271017,308.083658045151,13.0020998,1,0,21400,NaN,NaN,NaN,NaN,0,0,13.020541,recent-improved,1,6
1,MSCSO,17,20271018,308.310687632826,12.2181516,1,0,21486,NaN,NaN,NaN,NaN,0,0,12.2360507,recent-improved,1,6
1,MSCSO,18,20271019,310.059768047681,12.9241546,1,0,21403,NaN,NaN,NaN,NaN,0,0,12.9423757,recent-improved,1,6
1,MSCSO,19,20271020,329.80665349773,13.5667024,1,0,21527,NaN,NaN,NaN,NaN,0,0,13.5857432,recent-improved,1,6
1,MSCSO,20,20271021,300.926805367272,13.7226662,1,0,21432,NaN,NaN,NaN,NaN,0,0,13.7478136,recent-improved,1,6
1,MSCSO,21,20271022,310.358976078258,13.7223185,1,0,21484,NaN,NaN,NaN,NaN,0,0,13.7434954,recent-improved,1,6
1,MSCSO,22,20271023,308.893810351557,13.9946604,1,0,21437,NaN,NaN,NaN,NaN,0,0,14.017871,recent-improved,1,6
1,MSCSO,23,20271024,349.268103434637,13.2536943,1,0,21483,NaN,NaN,NaN,NaN,0,0,13.2777955,recent-improved,1,6
1,MSCSO,24,20271025,307.879489688752,13.0147654,1,0,21560,NaN,NaN,NaN,NaN,0,0,13.0379009,recent-improved,1,6
