ParamKey,ParamLabel,Level,LevelLabel,Scene,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount
step_strength,CVF step strength,strong,1.25x CVF field strength,4,6,20500937,357.111320041508,5.9127923,1,0,9331,0,213,139,88,52
step_strength,CVF step strength,strong,1.25x CVF field strength,4,7,20500938,331.018442900018,6.3660697,1,0,9452,0,364,201,58,42
step_strength,CVF step strength,strong,1.25x CVF field strength,4,8,20500939,385.251223328521,5.7421212,1,0,9287,0,160,108,97,70
step_strength,CVF step strength,strong,1.25x CVF field strength,4,9,20500940,350.434943300467,5.775587,1,0,9297,0,182,118,85,62
step_strength,CVF step strength,strong,1.25x CVF field strength,4,10,20500941,356.15615108214,5.9037345,1,0,9342,0,213,151,99,69
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,1,20580732,307.044111451847,6.2620177,1,0,9550,4,506,279,14,11
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,2,20580733,309.045601465301,6.3494026,1,0,9557,6,512,310,15,11
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,3,20580734,302.474831278178,6.2238174,1,0,9549,0,513,329,6,4
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,4,20580735,301.904090097331,6.2722615,1,0,9561,10,511,311,20,13
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,5,20580736,307.992096178468,6.1948158,1,0,9546,0,510,292,6,4
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,6,20580737,302.729266307162,6.2163185,1,0,9547,3,512,314,5,5
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,7,20580738,300.524838999758,6.2605529,1,0,9546,6,511,329,5,4
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,8,20580739,303.369715244213,6.2497112,1,0,9551,0,512,290,9,7
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,9,20580740,301.821972379386,6.3067357,1,0,9548,1,512,346,6,5
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,10,20580741,300.188683906544,6.2430767,1,0,9546,3,509,311,7,6
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,1,20600732,329.887636171617,6.250287,1,0,9432,0,327,217,75,62
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,2,20600733,337.918017215112,6.2842526,1,0,9434,0,319,187,85,65
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,3,20600734,328.076437886416,6.019176,1,0,9380,0,274,168,76,54
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,4,20600735,381.69721605483,6.0509712,1,0,9377,0,253,225,94,46
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,5,20600736,401.066255379334,5.771575,1,0,9301,0,178,139,93,77
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,6,20600737,341.709218117991,5.9449406,1,0,9352,0,238,131,84,53
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,7,20600738,337.221735996988,5.8311005,1,0,9318,0,191,118,97,70
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,8,20600739,368.751479838851,5.969536,1,0,9367,0,245,223,92,61
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,9,20600740,385.647640765393,5.9371612,1,0,9347,0,232,176,85,56
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,10,20600741,328.903782606212,6.4404109,1,0,9488,0,410,217,48,43
state_switch_threshold,Conservative state switching threshold,default,default conservative switching threshold,2,1,20580832,303.103741179082,6.2113087,1,0,9548,1,513,315,5,4
state_switch_threshold,Conservative state switching threshold,default,default conservative switching threshold,2,2,20580833,302.695957809503,6.2701893,1,0,9547,0,513,321,4,3
state_switch_threshold,Conservative state switching threshold,default,default conservative switching threshold,2,3,20580834,297.82323259248,6.2739816,1,0,9552,4,513,311,9,8
state_switch_threshold,Conservative state switching threshold,default,default conservative switching threshold,2,4,20580835,299.645868323025,6.2209092,1,0,9556,7,512,303,14,9
